127.0.0.1, 2019-04-08 19:28:36, GET, /admin/static/_2.18.4/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.013435
127.0.0.1, 2019-04-08 19:28:36, GET, /admin/static/_2.18.4/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.009276
127.0.0.1, 2019-04-08 19:28:36, GET, /admin/static/_2.18.4/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.010085
127.0.0.1, 2019-04-08 19:28:36, GET, /admin/static/_2.18.4/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.004835
127.0.0.1, 2019-04-08 19:28:36, GET, /admin/static/_2.18.4/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.008509
127.0.0.1, 2019-04-08 19:28:36, GET, /admin/static/_2.18.4/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.012003
127.0.0.1, 2019-04-08 19:28:36, GET, /admin/static/_2.18.4/css/web2py-codemirror.css, HTTP/1.1, 200, 0.015265
127.0.0.1, 2019-04-08 19:28:36, GET, /admin/static/_2.18.4/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.014846
127.0.0.1, 2019-04-08 19:28:36, GET, /admin/static/_2.18.4/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.013740
127.0.0.1, 2019-04-08 19:28:36, GET, /admin/static/_2.18.4/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.008671
127.0.0.1, 2019-04-08 19:28:36, GET, /admin/static/_2.18.4/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.016162
127.0.0.1, 2019-04-08 19:28:36, GET, /admin/static/_2.18.4/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.005117
127.0.0.1, 2019-04-08 19:28:36, GET, /admin/static/_2.18.4/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.002248
127.0.0.1, 2019-04-08 19:28:36, GET, /admin/static/_2.18.4/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.002324
127.0.0.1, 2019-04-08 19:28:36, GET, /admin/static/_2.18.4/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.011054
127.0.0.1, 2019-04-08 19:28:36, GET, /admin/static/_2.18.4/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.005230
127.0.0.1, 2019-04-08 19:28:36, GET, /admin/static/_2.18.4/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.002048
127.0.0.1, 2019-04-08 19:28:36, GET, /admin/static/_2.18.4/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.003747
127.0.0.1, 2019-04-08 19:28:36, GET, /admin/static/_2.18.4/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.003392
127.0.0.1, 2019-04-08 19:28:36, GET, /admin/static/_2.18.4/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.004411
127.0.0.1, 2019-04-08 19:28:36, GET, /admin/static/_2.18.4/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.004657
127.0.0.1, 2019-04-08 19:28:36, GET, /admin/static/_2.18.4/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.014382
127.0.0.1, 2019-04-08 19:28:36, GET, /admin/static/_2.18.4/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.005678
127.0.0.1, 2019-04-08 19:28:37, GET, /admin/static/_2.18.4/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.001785
127.0.0.1, 2019-04-08 19:28:37, GET, /admin/static/_2.18.4/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.011335
127.0.0.1, 2019-04-08 19:28:37, GET, /admin/static/_2.18.4/js/ajax_editor.js, HTTP/1.1, 200, 0.008447
127.0.0.1, 2019-04-08 19:28:37, GET, /admin/static/_2.18.4/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.006632
127.0.0.1, 2019-04-08 19:28:37, GET, /admin/static/_2.18.4/codemirror/addon/comment/comment.js, HTTP/1.1, 200, 0.006697
127.0.0.1, 2019-04-08 19:28:37, GET, /admin/static/_2.18.4/codemirror/emmet.min.js, HTTP/1.1, 200, 0.010790
127.0.0.1, 2019-04-08 19:28:37, GET, /admin/static/_2.18.4/js/typeahead.min.js, HTTP/1.1, 200, 0.011228
127.0.0.1, 2019-04-08 19:28:37, GET, /admin/static/_2.18.4/images/files_toggle.png, HTTP/1.1, 200, 0.003543
127.0.0.1, 2019-04-08 19:28:37, GET, /admin/static/_2.18.4/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.006432
127.0.0.1, 2019-04-08 19:28:38, GET, /admin/default/edit/helloWorld/controllers/default.py, HTTP/1.1, 200, 0.636508
127.0.0.1, 2019-04-08 19:28:38, GET, /admin/static/_2.18.4/images/save_icon.png, HTTP/1.1, 200, 0.018572
127.0.0.1, 2019-04-08 19:28:38, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 1.032358
127.0.0.1, 2019-04-08 19:28:39, GET, /admin/default/todolist.load, HTTP/1.1, 200, 1.616653
127.0.0.1, 2019-04-08 19:28:39, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.862287
127.0.0.1, 2019-04-08 19:28:39, GET, /admin/default/files_menu, HTTP/1.1, 200, 2.281125
127.0.0.1, 2019-04-08 19:28:40, GET, /helloWorld/appadmin/hooks, HTTP/1.1, 200, 2.425051
127.0.0.1, 2019-04-08 19:29:38, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.543745
127.0.0.1, 2019-04-08 19:29:53, GET, /helloWorld/appadmin/hooks, HTTP/1.1, 200, 15.878920
127.0.0.1, 2019-04-08 19:30:38, GET, /admin/default/todolist.load, HTTP/1.1, 200, 1.096279
127.0.0.1, 2019-04-08 19:30:53, GET, /helloWorld/appadmin/hooks, HTTP/1.1, 200, 15.881555
127.0.0.1, 2019-04-08 19:31:35, POST, /admin/default/edit/helloWorld/controllers/default.py, HTTP/1.1, 200, 0.450714
127.0.0.1, 2019-04-08 19:31:39, GET, /admin/default/todolist.load, HTTP/1.1, 200, 1.707016
127.0.0.1, 2019-04-08 19:31:44, GET, /helloWorld/appadmin/hooks, HTTP/1.1, 200, 6.627044
127.0.0.1, 2019-04-08 19:31:44, GET, /helloWorld, HTTP/1.1, 200, 4.829235
127.0.0.1, 2019-04-08 19:31:44, GET, /favicon.ico, HTTP/1.1, 400, 0.004198
127.0.0.1, 2019-04-08 19:32:38, GET, /admin/default/todolist.load, HTTP/1.1, 200, 1.146442
127.0.0.1, 2019-04-08 19:32:53, GET, /helloWorld/appadmin/hooks, HTTP/1.1, 200, 15.842942
127.0.0.1, 2019-04-08 19:33:01, GET, /admin/default/design/helloWorld, HTTP/1.1, 200, 1.031582
127.0.0.1, 2019-04-08 19:33:22, GET, /admin/default/peek/helloWorld/controllers/appadmin.py, HTTP/1.1, 200, 6.467219
